stratum,priority,block,gene_id,plat_gene_id,perc_id_hp,human_tx,platypus_tx,human_tx_rule,platypus_tx_rule,reason,aln_first_block_human,aln_first_block_platypus,aln_n_matched_codons,aln_n_blocks,aln_indel_frac,aa_identity,prefix_codon_human,prefix_codon_platypus
0,0,3147,ENSG00000137133,ENSOANG00000040371,64.4172,ENST00000259667,ENSOANT00000051646,canonical,canonical,window_starts_too_late(h49>30),0-1,0-1,125.0,4.0,0.233129,0.856,,
0,1,2781,ENSG00000132196,ENSOANG00000048102,59.2375,ENST00000254521,ENSOANT00000050908,canonical,canonical,pass,0-4,0-4,314.0,4.0,0.184416,0.646497,10.0,81.0
0,2,4775,ENSG00000164935,ENSOANG00000008852,58.2979,ENST00000297581,ENSOANT00000014094,canonical,canonical,pass,0-158,0-158,468.0,3.0,0.004255,0.58547,0.0,0.0
0,3,3214,ENSG00000137868,ENSOANG00000010196,54.7226,ENST00000395105,ENSOANT00000016168,canonical,canonical,pass,0-13,0-13,649.0,10.0,0.026987,0.577812,14.0,13.0
0,4,5804,ENSG00000179988,ENSOANG00000001995,57.8212,ENST00000406217,ENSOANT00000003164,canonical,canonical,pass,0-2,0-2,349.0,8.0,0.02514,0.610315,10.0,11.0
0,5,2366,ENSG00000124145,ENSOANG00000010559,59.0909,ENST00000372733,ENSOANT00000030229,canonical,canonical,pass,0-16,0-16,192.0,7.0,0.115207,0.645833,16.0,17.0
0,6,5030,ENSG00000167513,ENSOANG00000013903,55.8608,ENST00000301019,ENSOANT00000021921,canonical,canonical,window_starts_too_late(h129>30),0-10,0-10,523.0,18.0,0.134106,0.629063,,
0,7,1037,ENSG00000100629,ENSOANG00000010621,59.3236,ENST00000555265,ENSOANT00000076044,canonical,canonical,pass,0-146,13-159,1071.0,10.0,0.036004,0.623716,0.0,13.0
0,8,6580,ENSG00000204923,ENSOANG00000008392,58.7097,ENST00000377957,ENSOANT00000013334,canonical,canonical,pass,0-8,0-8,146.0,4.0,0.058065,0.657534,25.0,19.0
0,9,3497,ENSG00000142252,ENSOANG00000008945,57.2519,ENST00000270257,ENSOANT00000014246,canonical,canonical,window_starts_too_late(h53>30),0-3,0-3,112.0,6.0,0.188406,0.705357,,
0,10,5150,ENSG00000168874,ENSOANG00000050306,56.6978,ENST00000306279,ENSOANT00000067239,canonical,canonical,pass,0-41,0-41,257.0,11.0,0.261494,0.735409,0.0,0.0
0,11,1942,ENSG00000115568,ENSOANG00000040583,50.6624,ENST00000411696,ENSOANT00000065808,canonical,canonical,pass,0-10,0-10,1633.0,61.0,0.139621,0.637477,27.0,19.0
0,12,6650,ENSG00000213563,ENSOANG00000037775,62.963,ENST00000524821,ENSOANT00000073603,canonical,canonical,pass,0-24,0-24,215.0,6.0,0.035874,0.674419,25.0,24.0
0,13,2906,ENSG00000134247,ENSOANG00000005344,53.5836,ENST00000393203,ENSOANT00000050938,canonical,canonical,pass,0-18,0-18,861.0,13.0,0.049669,0.559814,18.0,21.0
0,14,5376,ENSG00000172244,ENSOANG00000008911,56.1129,ENST00000306862,ENSOANT00000014189,canonical,canonical,pass,0-163,0-163,638.0,7.0,0.016949,0.568966,0.0,0.0
0,15,5083,ENSG00000168038,ENSOANG00000006813,62.902,ENST00000301831,ENSOANT00000048154,canonical,canonical,pass,0-210,0-210,1096.0,10.0,0.140392,0.732664,0.0,0.0
0,16,3337,ENSG00000072201,ENSOANG00000037540,61.4011,ENST00000263925,ENSOANT00000070004,canonical,canonical,pass,0-4,0-4,709.0,16.0,0.087516,0.651622,4.0,5.0
0,17,5751,ENSG00000178919,ENSOANG00000042003,63.2708,ENST00000375123,ENSOANT00000069528,canonical,canonical,no_start_codon_platypus(GGT),,,,,,,,
0,18,5489,ENSG00000173950,ENSOANG00000012745,64.1221,ENST00000310380,ENSOANT00000020168,canonical,canonical,window_starts_too_late(h87>30),0-2,0-2,359.0,7.0,0.086514,0.713092,,
0,19,5415,ENSG00000172732,ENSOANG00000014814,51.7241,ENST00000308110,ENSOANT00000023335,canonical,canonical,window_starts_too_late(h177>30),0-3,0-3,403.0,8.0,0.268603,0.719603,,
0,20,2801,ENSG00000140287,ENSOANG00000038775,62.9909,ENST00000267845,ENSOANT00000074652,canonical,canonical,no_start_codon_platypus(AGG),,,,,,,,
0,21,6009,ENSG00000184154,ENSOANG00000001784,55.7292,ENST00000289488,ENSOANT00000002839,canonical,canonical,no_start_codon_platypus(TTG),,,,,,,,
0,22,1908,ENSG00000115204,ENSOANG00000050006,56.25,ENST00000380044,ENSOANT00000065379,canonical,canonical,no_start_codon_platypus(GGC),,,,,,,,
0,23,2296,ENSG00000122484,ENSOANG00000004403,56.2092,ENST00000610020,ENSOANT00000054712,canonical,canonical,window_starts_too_late(h37>30),0-1,0-1,567.0,9.0,0.073529,0.619048,,
0,24,5021,ENSG00000167393,ENSOANG00000006685,60.3478,ENST00000390665,ENSOANT00000010678,canonical,canonical,window_starts_too_late(h108>30),12-20,0-8,469.0,5.0,0.184348,0.754797,,
0,25,2209,ENSG00000130561,ENSOANG00000007137,56.5432,ENST00000409110,ENSOANT00000066012,canonical,canonical,no_start_codon_platypus(TTG),,,,,,,,
0,26,3233,ENSG00000138075,ENSOANG00000002850,63.9017,ENST00000405322,ENSOANT00000004533,canonical,canonical,pass,0-3,0-3,651.0,3.0,0.019578,0.645161,7.0,20.0
0,27,5869,ENSG00000181544,ENSOANG00000002602,51.1059,ENST00000650831,ENSOANT00000004137,canonical,canonical,pass,0-4,0-4,848.0,13.0,0.012806,0.523585,10.0,4.0
0,28,250,ENSG00000039600,ENSOANG00000048847,61.6202,ENST00000265007,ENSOANT00000058908,canonical,canonical,window_starts_too_late(h229>30),0-4,0-4,727.0,28.0,0.165327,0.650619,,
0,29,6198,ENSG00000188070,ENSOANG00000002940,63.5693,ENST00000433688,ENSOANT00000068558,canonical,canonical,no_start_codon_platypus(CCA),,,,,,,,
0,30,77,ENSG00000007908,ENSOANG00000000876,51.1475,ENST00000333360,ENSOANT00000001363,canonical,canonical,pass,0-2,0-2,534.0,7.0,0.12459,0.601124,15.0,2.0
0,31,1340,ENSG00000105321,ENSOANG00000049974,60.452,ENST00000221922,ENSOANT00000070492,canonical,canonical,pass,0-61,0-61,522.0,25.0,0.135762,0.636015,0.0,0.0
0,32,5618,ENSG00000233276,ENSOANG00000036255,55.1724,ENST00000419783,ENSOANT00000065702,canonical,canonical,window_starts_too_late(h84>30),0-2,0-2,149.0,3.0,0.26601,0.758389,,
0,33,5470,ENSG00000173627,ENSOANG00000001000,57.7657,ENST00000308641,ENSOANT00000001592,canonical,canonical,pass,0-246,0-246,362.0,4.0,0.01897,0.60221,0.0,0.0
0,34,4069,ENSG00000103355,ENSOANG00000000553,61.7857,ENST00000682474,ENSOANT00000000880,canonical,canonical,no_start_codon_platypus(GGC),,,,,,,,
0,35,4067,ENSG00000171357,ENSOANG00000044785,59.8326,ENST00000371980,ENSOANT00000066119,canonical,canonical,pass,0-32,0-32,228.0,11.0,0.164835,0.649123,0.0,0.0
0,36,4023,ENSG00000163462,ENSOANG00000040420,56.6535,ENST00000334634,ENSOANT00000051775,canonical,canonical,pass,0-121,0-121,529.0,4.0,0.30303,0.812854,0.0,0.0
0,37,2998,ENSG00000135409,ENSOANG00000040113,51.1344,ENST00000257863,ENSOANT00000047810,canonical,canonical,pass,0-1,0-1,504.0,15.0,0.120419,0.607143,5.0,1.0
0,38,3281,ENSG00000117362,ENSOANG00000043325,61.5094,ENST00000369109,ENSOANT00000072613,canonical,canonical,pass,0-160,0-160,213.0,9.0,0.236559,0.784038,0.0,0.0
0,39,6705,ENSG00000215883,ENSOANG00000036021,50.7937,ENST00000534324,ENSOANT00000053335,canonical,canonical,no_start_codon_platypus(TAC),,,,,,,,
0,40,4431,ENSG00000161618,ENSOANG00000006835,63.0923,ENST00000293350,ENSOANT00000055829,canonical,canonical,pass,0-1,0-1,800.0,9.0,0.044205,0.6425,28.0,58.0
0,41,5081,ENSG00000168016,ENSOANG00000015307,62.2769,ENST00000645898,ENSOANT00000049621,canonical,canonical,pass,0-5,0-5,2916.0,31.0,0.034757,0.639575,5.0,43.0
0,42,5304,ENSG00000170955,ENSOANG00000043123,63.6015,ENST00000303927,ENSOANT00000052657,canonical,canonical,pass,0-9,0-9,250.0,9.0,0.137931,0.668,15.0,9.0
0,43,2845,ENSG00000133048,ENSOANG00000001907,63.4465,ENST00000255409,ENSOANT00000003030,canonical,canonical,pass,0-61,0-61,381.0,5.0,0.005222,0.643045,0.0,0.0
0,44,5712,ENSG00000178057,ENSOANG00000010908,60.8696,ENST00000326925,ENSOANT00000017285,canonical,canonical,pass,0-172,0-172,182.0,3.0,0.016216,0.620879,0.0,0.0
0,45,3078,ENSG00000136243,ENSOANG00000014206,57.9196,ENST00000258742,ENSOANT00000022402,canonical,canonical,window_starts_too_late(h39>30),0-23,0-23,409.0,13.0,0.05977,0.621027,,
0,46,6155,ENSG00000186871,ENSOANG00000014708,57.2,ENST00000334463,ENSOANT00000023181,canonical,canonical,pass,0-1,0-1,1178.0,32.0,0.083268,0.644312,7.0,9.0
0,47,3719,ENSG00000146166,ENSOANG00000002192,63.2613,ENST00000370657,ENSOANT00000003478,canonical,canonical,window_starts_too_late(h64>30),0-17,0-17,507.0,6.0,0.115183,0.65286,,
0,48,6503,ENSG00000198894,ENSOANG00000010591,64.1604,ENST00000361786,ENSOANT00000065445,canonical,canonical,pass,0-214,0-214,395.0,6.0,0.010025,0.653165,0.0,0.0
0,49,3011,ENSG00000135541,ENSOANG00000031640,52.6756,ENST00000265602,ENSOANT00000055638,canonical,canonical,pass,0-36,0-36,1161.0,24.0,0.073424,0.571059,0.0,0.0
0,50,5214,ENSG00000169679,ENSOANG00000012628,56.9585,ENST00000302759,ENSOANT00000019971,canonical,canonical,pass,9-172,0-163,1062.0,16.0,0.053476,0.597928,9.0,0.0
0,51,1387,ENSG00000105852,ENSOANG00000048302,60.452,ENST00000265627,ENSOANT00000074798,canonical,canonical,pass,0-354,0-354,354.0,1.0,0.0,0.60452,0.0,0.0
0,52,6375,ENSG00000151327,ENSOANG00000014053,60.5932,ENST00000280987,ENSOANT00000022167,canonical,canonical,no_start_codon_platypus(TAC),,,,,,,,
0,53,1827,ENSG00000113621,ENSOANG00000013063,64.1667,ENST00000358387,ENSOANT00000020656,canonical,canonical,pass,0-1,0-1,351.0,10.0,0.236957,0.68661,19.0,126.0
0,54,6538,ENSG00000204131,ENSOANG00000045462,54.3673,ENST00000633930,ENSOANT00000057534,canonical,canonical,window_starts_too_late(h105>30),0-1,0-1,1113.0,22.0,0.091429,0.595687,,
0,55,2832,ENSG00000132780,ENSOANG00000011792,54.5685,ENST00000350030,ENSOANT00000074408,canonical,canonical,pass,0-2,0-2,699.0,23.0,0.112944,0.635193,21.0,2.0
0,56,1490,ENSG00000107771,ENSOANG00000001117,61.127,ENST00000372088,ENSOANT00000071617,canonical,canonical,pass,0-296,0-296,1031.0,15.0,0.020893,0.629486,0.0,0.0
0,57,3819,ENSG00000148300,ENSOANG00000002453,55.2133,ENST00000371942,ENSOANT00000074582,canonical,canonical,window_starts_too_late(h44>30),0-1,0-1,414.0,13.0,0.09011,0.608696,,
0,58,3458,ENSG00000141499,ENSOANG00000008865,57.2993,ENST00000396463,ENSOANT00000070315,canonical,canonical,window_starts_too_late(h128>30),0-1,0-1,441.0,9.0,0.195255,0.723356,,
0,59,2238,ENSG00000120915,ENSOANG00000010887,58.7387,ENST00000521400,ENSOANT00000017257,canonical,canonical,pass,0-414,19-433,539.0,3.0,0.035778,0.606679,0.0,19.0
0,60,987,ENSG00000100320,ENSOANG00000007489,63.0872,ENST00000695854,ENSOANT00000011925,canonical,canonical,no_start_codon_platypus(GGA),,,,,,,,
0,61,187,ENSG00000023572,ENSOANG00000002962,53.6585,ENST00000367439,ENSOANT00000024705,canonical,canonical,no_start_codon_platypus(GGG),,,,,,,,
0,62,2071,ENSG00000117592,ENSOANG00000000916,60.2679,ENST00000340385,ENSOANT00000057572,canonical,canonical,no_start_codon_platypus(CTG),,,,,,,,
0,63,6525,ENSG00000203734,ENSOANG00000014805,63.1637,ENST00000541398,ENSOANT00000023321,canonical,canonical,no_start_codon_platypus(CCC),,,,,,,,
0,64,343,ENSG00000056972,ENSOANG00000013378,61.7699,ENST00000368761,ENSOANT00000001001,canonical,canonical,pass,0-52,8-60,551.0,5.0,0.024779,0.642468,0.0,8.0
0,65,3827,ENSG00000148384,ENSOANG00000028971,62.2671,ENST00000371712,ENSOANT00000041025,canonical,canonical,pass,0-3,0-3,631.0,10.0,0.07478,0.662441,9.0,3.0
